FilterTahun;Id 1;Id 11;Name 1;Provinsi;Tahun;Type 1;Geometry;Sp Potong;Tingkat Risiko Kejahatan
2015;11;11;Aceh;ACEH;01/01/2020;Daaerah Istimewa;MultiPolygon;415123;149
2015;12;12;Sumatera Utara;SUMATERA UTARA;01/01/2020;Provinsi;MultiPolygon;896200;231
2015;13;13;Sumatera Barat;SUMATERA BARAT;01/01/2020;Provinsi;MultiPolygon;417029;150
2015;14;14;Riau;RIAU;01/01/2020;Provinsi;MultiPolygon;202647;123
2015;15;15;Jambi;JAMBI;01/01/2020;Provinsi;MultiPolygon;161374;134
2015;16;16;Sumatera Selatan;SUMATERA SELATAN;01/01/2020;Provinsi;MultiPolygon;304815;147
2015;17;17;Bengkulu;BENGKULU;01/01/2020;Provinsi;MultiPolygon;164780;172
2015;18;18;Lampung;LAMPUNG;01/01/2020;Provinsi;MultiPolygon;864213;92
2015;19;19;Bangka-Belitung;KEP. BANGKA BELITUNG;01/01/2020;Provinsi;MultiPolygon;15742;133
2015;20;20;Kepulauan Riau;KEP. RIAU;01/01/2020;Provinsi;MultiPolygon;27374;127
2015;31;31;DKI Jakarta;DKI JAKARTA;01/01/2020;Daerah Khusus Ibukota;MultiPolygon;2396;105
2015;32;32;Jawa Barat;JAWA BARAT;01/01/2020;Provinsi;MultiPolygon;389251;29
2015;33;33;Jawa Tengah;JAWA TENGAH;01/01/2020;Provinsi;MultiPolygon;1800662;31
2015;34;34;DI Yogyakarta;DI YOGYAKARTA;01/01/2020;Daerah Istimewa;MultiPolygon;306498;200
2015;35;35;Jawa Timur;JAWA TIMUR;01/01/2020;Provinsi;MultiPolygon;4815330;44
2015;36;36;Banten;BANTEN;01/01/2020;Provinsi;MultiPolygon;49495;63
2015;51;51;Bali;BALI;01/01/2020;Provinsi;MultiPolygon;588552;60
2015;52;52;Nusa Tenggara Barat;NUSA TENGGARA BARAT;01/01/2020;Provinsi;MultiPolygon;1284649;167
2015;53;53;Nusa Tenggara Timur;NUSA TENGGARA TIMUR;01/01/2020;Provinsi;MultiPolygon;1188982;88
2015;61;61;Kalimantan Barat;KALIMANTAN BARAT;01/01/2020;Provinsi;MultiPolygon;155950;76
2015;62;62;Kalimantan Tengah;KALIMANTAN TENGAH;01/01/2020;Provinsi;MultiPolygon;77432;62
2015;63;63;Kalimantan Selatan;KALIMANTAN SELATAN;01/01/2020;Provinsi;MultiPolygon;131146;196
2015;64;64;Kalimantan Timur;KALIMANTAN TIMUR;01/01/2020;Provinsi;MultiPolygon;123069;100
2015;65;65;Kalimantan Utara;KALIMANTAN UTARA;01/01/2020;Provinsi;MultiPolygon;23795;146
2015;71;71;Sulawesi Utara;SULAWESI UTARA;01/01/2020;Provinsi;MultiPolygon;128654;252
2015;72;72;Sulawesi Tengah;SULAWESI TENGAH;01/01/2020;Provinsi;MultiPolygon;391418;179
2015;73;73;Sulawesi Selatan;SULAWESI SELATAN;01/01/2020;Provinsi;MultiPolygon;1431533;145
2015;74;74;Sulawesi Tenggara;SULAWESI TENGGARA;01/01/2020;Provinsi;MultiPolygon;357086;81
2015;75;75;Gorontalo;GORONTALO;01/01/2020;Provinsi;MultiPolygon;253960;214
2015;76;76;Sulawesi Barat;SULAWESI BARAT;01/01/2020;Provinsi;MultiPolygon;112662;125
2015;81;81;Maluku;MALUKU;01/01/2020;Provinsi;MultiPolygon;110063;303
2015;82;82;Maluku Utara;MALUKU UTARA;01/01/2020;Provinsi;MultiPolygon;106941;69
2015;91;91;Papua Barat;PAPUA BARAT;01/01/2020;Provinsi;MultiPolygon;56367;328
2015;94;94;Papua;PAPUA;01/01/2020;Provinsi;MultiPolygon;111604;208
2015;11;11;Aceh;ACEH;01/01/2019;Daaerah Istimewa;MultiPolygon;415123;144
2015;12;12;Sumatera Utara;SUMATERA UTARA;01/01/2019;Provinsi;MultiPolygon;896200;216
2015;13;13;Sumatera Barat;SUMATERA BARAT;01/01/2019;Provinsi;MultiPolygon;417029;208
2015;14;14;Riau;RIAU;01/01/2019;Provinsi;MultiPolygon;202647;99
2015;15;15;Jambi;JAMBI;01/01/2019;Provinsi;MultiPolygon;161374;195
2015;16;16;Sumatera Selatan;SUMATERA SELATAN;01/01/2019;Provinsi;MultiPolygon;304815;156
2015;17;17;Bengkulu;BENGKULU;01/01/2019;Provinsi;MultiPolygon;164780;179
2015;18;18;Lampung;LAMPUNG;01/01/2019;Provinsi;MultiPolygon;864213;103
2015;19;19;Bangka-Belitung;KEP. BANGKA BELITUNG;01/01/2019;Provinsi;MultiPolygon;15742;136
2015;20;20;Kepulauan Riau;KEP. RIAU;01/01/2019;Provinsi;MultiPolygon;27374;152
2015;31;31;DKI Jakarta;DKI JAKARTA;01/01/2019;Daerah Khusus Ibukota;MultiPolygon;2396;127
2015;32;32;Jawa Barat;JAWA BARAT;01/01/2019;Provinsi;MultiPolygon;389251;34
2015;33;33;Jawa Tengah;JAWA TENGAH;01/01/2019;Provinsi;MultiPolygon;1800662;30
2015;34;34;DI Yogyakarta;DI YOGYAKARTA;01/01/2019;Daerah Istimewa;MultiPolygon;306498;177
2015;35;35;Jawa Timur;JAWA TIMUR;01/01/2019;Provinsi;MultiPolygon;4815330;69
2015;36;36;Banten;BANTEN;01/01/2019;Provinsi;MultiPolygon;49495;49
2015;51;51;Bali;BALI;01/01/2019;Provinsi;MultiPolygon;588552;72
2015;52;52;Nusa Tenggara Barat;NUSA TENGGARA BARAT;01/01/2019;Provinsi;MultiPolygon;1284649;165
2015;53;53;Nusa Tenggara Timur;NUSA TENGGARA TIMUR;01/01/2019;Provinsi;MultiPolygon;1188982;111
2015;61;61;Kalimantan Barat;KALIMANTAN BARAT;01/01/2019;Provinsi;MultiPolygon;155950;96
